# loss_dp, loss_pinn
5.042018002208281668e-01,2.319670432262559319e-03
5.038710742152883171e-01,2.106917808159867837e-03
5.038208824634633487e-01,2.029877846317553174e-03
5.038208774677443991e-01,2.029868317310737792e-03
5.038208664181994534e-01,2.029867637209494674e-03
5.017554705281684901e-01,2.029861115806114689e-03
5.017483818231656123e-01,3.317779390231839222e-04
5.002571282708782041e-01,3.025117741431428641e-04
5.001654244798521276e-01,1.366168234021261261e-04
5.001213133429812663e-01,1.007637609320134552e-04
5.000699916878719176e-01,5.900233613024299218e-05
5.000228156841397542e-01,2.531870072657900613e-05
5.000207592741950924e-01,1.398566250491357514e-05
5.000126836441384226e-01,9.366755682315649163e-06
5.000111198668202306e-01,9.108436510488003202e-06
5.000108594371732718e-01,8.898871904309148584e-06
5.000102968532154080e-01,7.472875396854725024e-06
5.000070160081999671e-01,6.901687724689840856e-06
5.000050056618206007e-01,6.368101684115026050e-06
5.000029062937141333e-01,5.463448247308391425e-06
5.000022780460126048e-01,5.079259637877576772e-06
5.000016813368667323e-01,4.923078148652937320e-06
5.000015412460238062e-01,4.808161136208696664e-06
5.000014959915970447e-01,4.768553107483252422e-06
5.000014887047523615e-01,4.751046045155164547e-06
5.000012635983042131e-01,4.658404164548544904e-06
5.000011675930678967e-01,3.983448342834579948e-06
5.000011453276210771e-01,3.913658805993750773e-06
5.000011436536653253e-01,3.600677929900172808e-06
5.000011415936528314e-01,3.490821263264402866e-06
5.000011379720861182e-01,3.239080919037120758e-06
5.000011270351981674e-01,3.009990678213766810e-06
5.000011015774104006e-01,2.706368510975454949e-06
5.000010352928037083e-01,2.459602846754473080e-06
5.000009829521248061e-01,2.382201380887103283e-06
5.000009147815265287e-01,2.346252700809347005e-06
5.000008430184277319e-01,2.300951913586667749e-06
5.000008120474671580e-01,2.281709791858786109e-06
5.000007611972915322e-01,2.267336070181858884e-06
5.000006955790922136e-01,2.258376781156681825e-06
5.000006505530920631e-01,2.247437468542623533e-06
5.000006284468336837e-01,2.228784322932355673e-06
5.000006048496666855e-01,2.186053120032910942e-06
5.000005572462248304e-01,2.120075667219945414e-06
5.000005482294782588e-01,2.058951024896894712e-06
5.000005378194805061e-01,2.027306911185123528e-06
5.000005333624333304e-01,1.953043802891389149e-06
5.000005305833256086e-01,1.914902250823534120e-06
5.000005261019030423e-01,1.903854482722485379e-06
5.000005222846558572e-01,1.900524173028452020e-06
5.000005169469677879e-01,1.895926017912605965e-06
5.000005148240844743e-01,1.891570767353931625e-06
5.000005139762644379e-01,1.884826677023568520e-06
5.000005137095124841e-01,1.879929676348236489e-06
5.000005134597078627e-01,1.875459385080083398e-06
5.000005133279329383e-01,1.863495280694150761e-06
5.000005132536118335e-01,1.838698342852731985e-06
5.000005128641533680e-01,1.782717592260917665e-06
5.000005110403102915e-01,1.710920652224189246e-06
5.000005005776153588e-01,1.652224080349603251e-06
5.000004816771351779e-01,1.533170857279415042e-06
5.000004718296009454e-01,1.356268076052313883e-06
5.000004592555866711e-01,1.262065844837560932e-06
5.000004522448362465e-01,1.108383369810007623e-06
5.000004486170295248e-01,9.503993715978735289e-07
5.000004449199975110e-01,7.398363517039530262e-07
5.000004375505993082e-01,6.496675214113090619e-07
5.000004354100320292e-01,4.937409201655043366e-07
5.000004333357770392e-01,4.560987371577429844e-07
5.000004312076332669e-01,4.344169705925911471e-07
5.000004303350821244e-01,4.092966545155159293e-07
5.000004300843947647e-01,3.992473294465969871e-07
5.000004298567516381e-01,3.900875912972714711e-07
5.000004295822811917e-01,3.792374266193891169e-07
5.000004274628038203e-01,3.706102181709679934e-07
5.000004221916810598e-01,3.575312428628825267e-07
5.000004103606312533e-01,3.436021495739151075e-07
5.000003820863376802e-01,3.382013274817094838e-07
5.000003753311665911e-01,3.368946833531864165e-07
5.000003469409417534e-01,3.358991121835949124e-07
5.000002887246470795e-01,3.339487387711631712e-07
5.000002526280855619e-01,3.310188366857269789e-07
5.000002293852633395e-01,3.212647796047303624e-07
5.000001958766643329e-01,3.048052460164720919e-07
5.000001726922478351e-01,2.888205281317410172e-07
5.000001649555905203e-01,2.755284228867201196e-07
5.000001521282143591e-01,2.607668727996151501e-07
5.000001470776092027e-01,2.499806786761769158e-07
5.000001361296213531e-01,2.465862436480633892e-07
5.000001327207835855e-01,2.433239563170212328e-07
5.000001296158916864e-01,2.396670510423949761e-07
5.000001206223372296e-01,2.307287886483176939e-07
5.000001150809987305e-01,2.236513950644339805e-07
5.000001073989500666e-01,2.167057751950852795e-07
5.000001021719644445e-01,2.158037977210423247e-07
5.000000682911762695e-01,2.154294466042812649e-07
5.000000485389710647e-01,2.153756950774625009e-07
5.000000138511291325e-01,2.153441573575840771e-07
4.999999994088664690e-01,2.152794585858653450e-07
4.999999851714727050e-01,2.151104245584273829e-07
4.999999795935110569e-01,2.147557744201616093e-07
4.999999766933434509e-01,2.138702240993211649e-07
4.999999739055818737e-01,2.120809616156605731e-07
4.999999699682408094e-01,2.087511327824677186e-07
4.999999630876223455e-01,2.020430886883752122e-07
4.999999589989176929e-01,1.913073126904529518e-07
4.999999581262465354e-01,1.845126398497135881e-07
4.999999572009214965e-01,1.756803187069233060e-07
4.999999548660472026e-01,1.736141351286813202e-07
4.999999520188435076e-01,1.685960465318722017e-07
4.999999479881472864e-01,1.655004945672388916e-07
4.999999454211213612e-01,1.610478454356184775e-07
4.999999445120160702e-01,1.572333563926313860e-07
4.999999437933390078e-01,1.553817178032587217e-07
4.999999430096573882e-01,1.505023132523463389e-07
4.999999427111344596e-01,1.444768627183334440e-07
4.999999422691224216e-01,1.386759605176618871e-07
4.999999419944770040e-01,1.364283564245115820e-07
4.999999417533619317e-01,1.336581955624047414e-07
4.999999416011542963e-01,1.314051993767200589e-07
4.999999413088700440e-01,1.302938955364894449e-07
4.999999404694180360e-01,1.286463518081428079e-07
4.999999401112441566e-01,1.278384214508164794e-07
4.999999389155574403e-01,1.270550285215650810e-07
4.999999378405836081e-01,1.252122374226053136e-07
4.999999357861685256e-01,1.243096934422364088e-07
4.999999331502404387e-01,1.235366242875041207e-07
4.999999296218848865e-01,1.226782992146914932e-07
4.999999273890906593e-01,1.222405101654918002e-07
4.999999260959548941e-01,1.213919153667176358e-07
4.999999254008170024e-01,1.211875696165282413e-07
4.999999252453923848e-01,1.208676916735715166e-07
4.999999251384344978e-01,1.202457346611114568e-07
4.999999249607701146e-01,1.192516039510828225e-07
4.999999247481233811e-01,1.181668915992077467e-07
4.999999247186159845e-01,1.152101751831733334e-07
4.999999247144840675e-01,1.144722126775702111e-07
4.999999247140954894e-01,1.134418151716552716e-07
4.999999247056773344e-01,1.127264984918807473e-07
4.999999246553860077e-01,1.120925310692289451e-07
4.999999245666334469e-01,1.118983942504418613e-07
4.999999244040201907e-01,1.117626067787793829e-07
4.999999242497493723e-01,1.116918078508233600e-07
4.999999238245722011e-01,1.115483760040936984e-07
4.999999231993627058e-01,1.114791634824963414e-07
4.999999224125249442e-01,1.114503459162053002e-07
4.999999223251883618e-01,1.114359299187130971e-07
4.999999219459058120e-01,1.114037319966480294e-07
4.999999215001939001e-01,1.113439602576778200e-07
4.999999212017957051e-01,1.112419656051911871e-07
4.999999210493447643e-01,1.110990982488249338e-07
4.999999209485821439e-01,1.109058098235831670e-07
4.999999208404131146e-01,1.107459616016217956e-07
4.999999206810468166e-01,1.106488275149614705e-07
4.999999204713063139e-01,1.105128460686391715e-07
4.999999202873756099e-01,1.104352655205847596e-07
4.999999200834792656e-01,1.103822398836932963e-07
4.999999198958596791e-01,1.102781779578588275e-07
4.999999198319820537e-01,1.102586880724426397e-07
4.999999197267603335e-01,1.102138423454106584e-07
4.999999196492523890e-01,1.101816839306045018e-07
4.999999195906647542e-01,1.100371654207456279e-07
4.999999194133274982e-01,1.099426861484396981e-07
4.999999192927053748e-01,1.098662597210726488e-07
4.999999192615904864e-01,1.097493762832469173e-07
4.999999192147271954e-01,1.096481776309303682e-07
4.999999191924353048e-01,1.094730497666394316e-07
4.999999191686029798e-01,1.092758284613792997e-07
4.999999191493430528e-01,1.091862342923338979e-07
4.999999191415406274e-01,1.090206263162398970e-07
4.999999191387772268e-01,1.089547616439730028e-07
4.999999191368239559e-01,1.088876401525916551e-07
4.999999191354328465e-01,1.088457562515852585e-07
4.999999191344912108e-01,1.088135646029877509e-07
4.999999191338380111e-01,1.087882998982811476e-07
4.999999191318936775e-01,1.087690609101359145e-07
4.999999191297914702e-01,1.087514954694316030e-07
4.999999191279658195e-01,1.087308424487964286e-07
4.999999191267819887e-01,1.087230697740927819e-07
4.999999191263973519e-01,1.087192500038491850e-07
4.999999191263202469e-01,1.087152649256154190e-07
4.999999191262487486e-01,1.087047263471522100e-07
4.999999191259015818e-01,1.086591556213306160e-07
4.999999191248371000e-01,1.085688443773632374e-07
4.999999191228248208e-01,1.084015315034025592e-07
4.999999191189420378e-01,1.080928318809981177e-07
4.999999191133373544e-01,1.077255326109330392e-07
4.999999190994759979e-01,1.069907915274635276e-07
4.999999190720563202e-01,1.065574089025625647e-07
4.999999190089929324e-01,1.064235731891749489e-07
4.999999189200778904e-01,1.062759891558069110e-07
4.999999188727557442e-01,1.061148961227639667e-07
4.999999187541103174e-01,1.059334921816759521e-07
4.999999186467938284e-01,1.057725246992356215e-07
4.999999186327681588e-01,1.055474690195390444e-07
4.999999186196168455e-01,1.053847803933986386e-07
4.999999186089649772e-01,1.051584687371803027e-07
4.999999186018837527e-01,1.049669978666050119e-07
4.999999185892882725e-01,1.048947776504250584e-07
4.999999185823725822e-01,1.047536642740817415e-07
4.999999185787530331e-01,1.045654650685841151e-07
4.999999185773652544e-01,1.044483456870218366e-07
4.999999185748538189e-01,1.043646745132880202e-07
4.999999185705782390e-01,1.042423054864607849e-07
4.999999185636587740e-01,1.041059374981617309e-07
4.999999185574627303e-01,1.039360657164712186e-07
4.999999185552720382e-01,1.038515184643251390e-07
4.999999185516045275e-01,1.037758400180626510e-07
4.999999185498403831e-01,1.036559231745481957e-07
4.999999185493462783e-01,1.035678346946717822e-07
4.999999185491036391e-01,1.034879517518163467e-07
4.999999185489281683e-01,1.034359683093766038e-07
4.999999185487949416e-01,1.033901381022484563e-07
4.999999185485716202e-01,1.033317052975952094e-07
4.999999185481587838e-01,1.032782861642269286e-07
4.999999185470403451e-01,1.032581067879000134e-07
4.999999185442740579e-01,1.032125774418136294e-07
4.999999185372383526e-01,1.031817590672149261e-07
4.999999185211033148e-01,1.031513451835356573e-07
4.999999184868615387e-01,1.031018988564950394e-07
4.999999184797023211e-01,1.030608893070392855e-07
4.999999183961827409e-01,1.029677368361646753e-07
4.999999182607600678e-01,1.028967879610869591e-07
4.999999181895712352e-01,1.028653869723260730e-07
4.999999181219235700e-01,1.028440354325996700e-07
4.999999180711844904e-01,1.028366603562978253e-07
4.999999180549242750e-01,1.028234859356061298e-07
4.999999180178291702e-01,1.028105543680747163e-07
4.999999179823300666e-01,1.027821849837661201e-07
4.999999178584279558e-01,1.027232902202433158e-07
4.999999177786474958e-01,1.026702405105987556e-07
4.999999176495169007e-01,1.026272454861400398e-07
4.999999175575938204e-01,1.025573616693554474e-07
4.999999173770991456e-01,1.024593582242649358e-07
4.999999173360227811e-01,1.024273224790331021e-07
4.999999172248776880e-01,1.023587022348286627e-07
4.999999171692126043e-01,1.023123446448340997e-07
4.999999171055600766e-01,1.021313480290396593e-07
4.999999170451742136e-01,1.019751474007527565e-07
4.999999169447590930e-01,1.019376531609179507e-07
4.999999169151864153e-01,1.018245421453795534e-07
4.999999168832074403e-01,1.017795786410181563e-07
4.999999168332364130e-01,1.016910299181278171e-07
4.999999168069054201e-01,1.016195183914355288e-07
4.999999167788141130e-01,1.015049776838028333e-07
4.999999167615166717e-01,1.014460742439315899e-07
4.999999167354540197e-01,1.013671401910354322e-07
4.999999166829033892e-01,1.013022791121294364e-07
4.999999166117488070e-01,1.012640657039876480e-07
4.999999165101300935e-01,1.011766146390061646e-07
4.999999164302216803e-01,1.011537509230348844e-07
4.999999163587970363e-01,1.010716102418869024e-07
4.999999162459055624e-01,1.010401202940943875e-07
4.999999161614513410e-01,1.010064257660366437e-07
4.999999160117245545e-01,1.009694106626898986e-07
4.999999159507968471e-01,1.008969788589527851e-07
4.999999159391335102e-01,1.008811277281666293e-07
4.999999159272361382e-01,1.008051766888141922e-07
4.999999159168610485e-01,1.007516600726336562e-07
4.999999159112347158e-01,1.007229126524246856e-07
4.999999159045230845e-01,1.007073737484399065e-07
4.999999158927247445e-01,1.006913668177084969e-07
4.999999158633601226e-01,1.006719665464767647e-07
4.999999157997723209e-01,1.006476683287542680e-07
4.999999156544903123e-01,1.006246011986973970e-07
4.999999156122296728e-01,1.005770007892005167e-07
4.999999155637436798e-01,1.005019793925269780e-07
4.999999155051904065e-01,1.004395611897913774e-07
4.999999154264377355e-01,1.004153321589236198e-07
4.999999153892343839e-01,1.003572751593751600e-07
4.999999153578625899e-01,1.003245585832197098e-07
4.999999152983342632e-01,1.002900425178902511e-07
4.999999152772937605e-01,1.002148467812898878e-07
4.999999151559755828e-01,1.001909909079790097e-07
4.999999151361901872e-01,1.001577595239739610e-07
4.999999150667210346e-01,1.000749147051237804e-07
4.999999150304914597e-01,1.000242331494911849e-07
4.999999149597610382e-01,9.996128639277458681e-08
4.999999149447506563e-01,9.989787832281381815e-08
4.999999148387049841e-01,9.986008027085462162e-08
4.999999146326212784e-01,9.983461494612101506e-08
4.999999145609411166e-01,9.981794053779951703e-08
4.999999143190830275e-01,9.979243357578952568e-08
4.999999141791544588e-01,9.977175045755173449e-08
4.999999140917430474e-01,9.973976607762302899e-08
4.999999140502306427e-01,9.970718863067873724e-08
4.999999140212050830e-01,9.966253551932143658e-08
4.999999139964675932e-01,9.963471998149720904e-08
4.999999139660217251e-01,9.962405007282417576e-08
4.999999139199954312e-01,9.959213812204920932e-08
4.999999138471624693e-01,9.957199542268228670e-08
4.999999137734027488e-01,9.954902914759333333e-08
4.999999137184852893e-01,9.952502798760042545e-08
4.999999136448077253e-01,9.947056273302350747e-08
4.999999135573814923e-01,9.939540868114053406e-08
4.999999134851442206e-01,9.936890682436149939e-08
4.999999133294941167e-01,9.935104642774443411e-08
4.999999132478375463e-01,9.934544340493062470e-08
4.999999131753340986e-01,9.934336575350395845e-08
4.999999131272107600e-01,9.934085095997855825e-08
4.999999131033689981e-01,9.933630247552192149e-08
4.999999130828651772e-01,9.932878973219053066e-08
4.999999130668690284e-01,9.932579419212311908e-08
4.999999130198428121e-01,9.932442931445100684e-08
4.999999129651125362e-01,9.932391458306301948e-08
4.999999128916327029e-01,9.932282169331504374e-08
4.999999128359208234e-01,9.932134819454934458e-08
4.999999127400097665e-01,9.931788954370224061e-08
4.999999127057402348e-01,9.931218498232310291e-08
4.999999126860950049e-01,9.930303988796621983e-08
4.999999126786697223e-01,9.928791298591913354e-08
4.999999126715237163e-01,9.926368644491123597e-08
4.999999126649035119e-01,9.922378437248848211e-08
4.999999126557128082e-01,9.912159060800819125e-08
4.999999126423195217e-01,9.906838443226021020e-08
4.999999126364369495e-01,9.902028281298459165e-08
4.999999126332629884e-01,9.895474971692400578e-08
4.999999126321073017e-01,9.890078748502710786e-08
4.999999126313101616e-01,9.888474500349920212e-08
4.999999126308434239e-01,9.886218136541571461e-08
4.999999126307113073e-01,9.881885884517259230e-08
4.999999126305661457e-01,9.880919697120166875e-08
4.999999126301216124e-01,9.877084938679956703e-08
4.999999126286569506e-01,9.872483949053349929e-08
4.999999126253533710e-01,9.869418169596408343e-08
4.999999126179556219e-01,9.867159847711502046e-08
4.999999126058837229e-01,9.865194936350190216e-08
4.999999125988910942e-01,9.862617977897437934e-08
4.999999125695212543e-01,9.858760254665692702e-08
4.999999125227361230e-01,9.856996273302377799e-08
4.999999124841413289e-01,9.853002995635663978e-08
4.999999124675010842e-01,9.851151718823087481e-08
4.999999124525248417e-01,9.849296456930504060e-08
4.999999124325893995e-01,9.846947439783081365e-08
4.999999124256646610e-01,9.844306120132406117e-08
4.999999124233779346e-01,9.842344985990167544e-08
4.999999124145587670e-01,9.838995454894458453e-08
4.999999124084085755e-01,9.837764276685476151e-08
4.999999124011119678e-01,9.835662522121807427e-08
4.999999123897644893e-01,9.834832809306978352e-08
4.999999123848301585e-01,9.832670942428892218e-08
4.999999123740063722e-01,9.828127852610616044e-08
4.999999123699467862e-01,9.825359253591335492e-08
4.999999123675512580e-01,9.819185283528338518e-08
4.999999123663688150e-01,9.811217773368799328e-08
4.999999123648348198e-01,9.797743169683237282e-08
4.999999123643787402e-01,9.792367066406564282e-08
4.999999123642229204e-01,9.783389197341751845e-08
4.999999123641040155e-01,9.773182042066700196e-08
4.999999123639314869e-01,9.763812066328650267e-08
4.999999123636234000e-01,9.757137668851355823e-08
4.999999123626739927e-01,9.750960662664626816e-08
4.999999123584314975e-01,9.743580201573477142e-08
4.999999123513414467e-01,9.738760183110381123e-08
4.999999123373800036e-01,9.724377922201588469e-08
4.999999123200057349e-01,9.721752428402266532e-08
4.999999122394590545e-01,9.708392691643293138e-08
4.999999121547531455e-01,9.699311185374456438e-08
4.999999121164105387e-01,9.687847219244741483e-08
4.999999120833183985e-01,9.682888949126248048e-08
4.999999120594899038e-01,9.675284641188605292e-08
4.999999120394665875e-01,9.669316745130176287e-08
4.999999119402127046e-01,9.666785716477942037e-08
4.999999119185159491e-01,9.662616044676296780e-08
4.999999118833290956e-01,9.657691150260842645e-08
4.999999118617172167e-01,9.652280070731752207e-08
4.999999118313531721e-01,9.648423141533718908e-08
4.999999118219996541e-01,9.642243742710100963e-08
4.999999118082900651e-01,9.632416517006337000e-08
4.999999117923799030e-01,9.627669774943305493e-08
4.999999117716205643e-01,9.621899857744879243e-08
4.999999117315125918e-01,9.613892356883902796e-08
4.999999117030040074e-01,9.607806978606391999e-08
4.999999116611473227e-01,9.600043337225629794e-08
4.999999116465927429e-01,9.585671762407139123e-08
4.999999115422043006e-01,9.583101456600271899e-08
4.999999115241873238e-01,9.574576063093184559e-08
4.999999115118978765e-01,9.566364913003240796e-08
4.999999114808991174e-01,9.559519996790729898e-08
4.999999114607359685e-01,9.546650557301823369e-08
4.999999114374223952e-01,9.532177318015950921e-08
4.999999113981447030e-01,9.529187944197252915e-08
4.999999113563873276e-01,9.521324447907305231e-08
4.999999113298931874e-01,9.513656758100937704e-08
4.999999113198396183e-01,9.509322030237793150e-08
4.999999112981500793e-01,9.505130153210955368e-08
4.999999112871710283e-01,9.502577180293407920e-08
4.999999112656583478e-01,9.498393966110936337e-08
4.999999111833783871e-01,9.488181302291603846e-08
4.999999111523690809e-01,9.481188094462505632e-08
4.999999111270914121e-01,9.477430929612647184e-08
4.999999111032158994e-01,9.474482173272753670e-08
4.999999110880308795e-01,9.470717538184126329e-08
4.999999110671383695e-01,9.464385599576793628e-08
4.999999110564236071e-01,9.461154455997765108e-08
4.999999110383460676e-01,9.459506733281157910e-08
4.999999110232966615e-01,9.458184592166647580e-08
4.999999110209317754e-01,9.457277200524880112e-08
4.999999110008825909e-01,9.456061563927613564e-08
4.999999109895486016e-01,9.455694735528921108e-08
4.999999109816984366e-01,9.454733070970839126e-08
4.999999109640964057e-01,9.454255748146299944e-08
4.999999109392566643e-01,9.453560791593994844e-08
4.999999109257811658e-01,9.452383172794354499e-08
4.999999109059505842e-01,9.450422016304516130e-08
4.999999108960965222e-01,9.446802132473520612e-08
4.999999108649605395e-01,9.446092405774462180e-08
4.999999108480105425e-01,9.443870034994152403e-08
4.999999108329200026e-01,9.440977957099167480e-08
4.999999108063071240e-01,9.436297494577174432e-08
4.999999107873867032e-01,9.435566778351982057e-08
4.999999107637547180e-01,9.431319483535778376e-08
4.999999107491047701e-01,9.425852438639005769e-08
4.999999107332534498e-01,9.418073592673230846e-08
4.999999107256148934e-01,9.410149846584834471e-08
4.999999107141056554e-01,9.395976402262323738e-08
4.999999107058881731e-01,9.390288594298168655e-08
4.999999107001060206e-01,9.378497008735982769e-08
4.999999106930437809e-01,9.356755022726338995e-08
4.999999106868672216e-01,9.344455636446075890e-08
4.999999106767630819e-01,9.326221416921832346e-08
4.999999106343286925e-01,9.297313320844493591e-08
4.999999106047287589e-01,9.269126741581926856e-08
4.999999105958414236e-01,9.253624173772471155e-08
4.999999105632332297e-01,9.222056359085363459e-08
4.999999105461691018e-01,9.186785657254618295e-08
4.999999105335397043e-01,9.166587504456684192e-08
4.999999105219533058e-01,9.146355702912649715e-08
4.999999105142716171e-01,9.120526200490925662e-08
4.999999105036757041e-01,9.096412912313297892e-08
4.999999104964898411e-01,9.063485940276015163e-08
4.999999104896428737e-01,9.027751072092521840e-08
4.999999104771618574e-01,9.018935879222413467e-08
4.999999104673276129e-01,9.005255477122201869e-08
4.999999104578165543e-01,8.977855104582614863e-08
4.999999104484275647e-01,8.967028427443385025e-08
4.999999104326640631e-01,8.962882980582343432e-08
4.999999104095485536e-01,8.956816739693079149e-08
4.999999103788829169e-01,8.952941518070377603e-08
4.999999103697874703e-01,8.952596243271326443e-08
4.999999103482126173e-01,8.952382293449409289e-08
4.999999103254262889e-01,8.952335344563813899e-08
4.999999103137049983e-01,8.952299964509273220e-08
4.999999102994157063e-01,8.952238140245410426e-08
4.999999102853835975e-01,8.952131042309601203e-08
4.999999102770126269e-01,8.951827028380099095e-08
4.999999102655712235e-01,8.951049508027347895e-08
4.999999102491980985e-01,8.949205819767918955e-08
4.999999102380224825e-01,8.946007638285561596e-08
4.999999102105365800e-01,8.941607071622828352e-08
4.999999101701946835e-01,8.940170502959689028e-08
4.999999101618846642e-01,8.938003854887354066e-08
4.999999101377933797e-01,8.935129945886189114e-08
4.999999101066772700e-01,8.934259391308034198e-08
4.999999100805443408e-01,8.933839156760183821e-08
4.999999100567129595e-01,8.933667937542971318e-08
4.999999100434320276e-01,8.933466237023103747e-08
4.999999100334377999e-01,8.933139183516504610e-08
4.999999100215636871e-01,8.932502763046428408e-08
4.999999100155222420e-01,8.930702102821854892e-08
4.999999100036094934e-01,8.927408317518923627e-08
4.999999099862427743e-01,8.921889620764528932e-08
4.999999099686309734e-01,8.915896376951175999e-08
4.999999099190598484e-01,8.913008890333875400e-08
4.999999099068271891e-01,8.897955788131444960e-08
4.999999098796224506e-01,8.890606204091842997e-08
4.999999098569372080e-01,8.887248111824159186e-08
4.999999098165385791e-01,8.881203273853158530e-08
4.999999098011603804e-01,8.870235861420702649e-08
4.999999097674447945e-01,8.864327920469846997e-08
4.999999097526923730e-01,8.850550113164561082e-08
4.999999097433038830e-01,8.843848061295033161e-08
4.999999097301323081e-01,8.839586225943500354e-08
4.999999097170578777e-01,8.834958740061798780e-08
4.999999096948789523e-01,8.827994594208325836e-08
4.999999096688825806e-01,8.824856667148328999e-08
4.999999096585157621e-01,8.820326432732936150e-08
4.999999096412672261e-01,8.812256577897681257e-08
4.999999096234712948e-01,8.808582433990544997e-08
4.999999096103914242e-01,8.804756405695796490e-08
4.999999095873761124e-01,8.796860980640064066e-08
4.999999095734093402e-01,8.794654104018846012e-08
4.999999095560833662e-01,8.791242127906903861e-08
4.999999095143997652e-01,8.787089961708242538e-08
4.999999094989077131e-01,8.785835564671957707e-08
4.999999094752449191e-01,8.781066920853549646e-08
4.999999094608486017e-01,8.777923962612119743e-08
4.999999094513082332e-01,8.774467670916560164e-08
4.999999094398685506e-01,8.772536037723724896e-08
4.999999094258275045e-01,8.771015276251334425e-08
4.999999094196513894e-01,8.766743649137922487e-08
4.999999094043119374e-01,8.765335398105380309e-08
4.999999093886809964e-01,8.763895141197485801e-08
4.999999093715546961e-01,8.760928775106119871e-08
4.999999093469551514e-01,8.760467190286088249e-08
4.999999093281023987e-01,8.758932219388465818e-08
4.999999093024125596e-01,8.755676621780628298e-08
4.999999092608702345e-01,8.754919769447190943e-08
4.999999092448809690e-01,8.753510305582866855e-08
4.999999092198842421e-01,8.751993865254501636e-08
4.999999092022654468e-01,8.750609550211578759e-08
4.999999091780585880e-01,8.749048782379596583e-08
4.999999091596217804e-01,8.746961195099761915e-08
4.999999091411240215e-01,8.746231077300233929e-08
4.999999091093451642e-01,8.745256756580477381e-08
4.999999090965380200e-01,8.742514338122052489e-08
4.999999090894879927e-01,8.740379975827598293e-08
4.999999090830218318e-01,8.739433371446970874e-08
4.999999090757442088e-01,8.738002934939585460e-08
4.999999090683537317e-01,8.736126704453977133e-08
4.999999090591096818e-01,8.734199876744679847e-08
4.999999090526709988e-01,8.732591205125041237e-08
4.999999090468524310e-01,8.731238889280954506e-08
4.999999090379343980e-01,8.730157244891981795e-08
