# error_dp, error_pinn
4.220611435003214507e-02,4.223355817453592481e-02
4.218036405846699310e-02,4.218036411628624249e-02
4.218036404322025867e-02,4.218036399127409602e-02
4.218040408451966677e-02,4.218036580046118783e-02
4.218000772862873921e-02,4.218040170876335287e-02
4.217979352361109213e-02,4.217981638171341280e-02
3.783495811844052314e-02,4.217980016692227802e-02
3.709528460494179725e-02,4.217980775289448259e-02
1.367648194825209565e-02,4.290384490535768813e-02
1.343704768919639497e-02,4.308103569283992101e-02
2.181767312236050985e-02,4.928584821620659445e-02
2.291752539488784920e-02,5.140293013034617081e-02
2.166792936248102680e-02,4.706946609513322499e-02
1.764353338946217029e-02,5.556615348999831977e-02
8.614689422671507196e-03,1.099367685551979473e-02
5.727786923468157314e-03,1.594469262937638424e-02
1.944453735390528704e-03,1.038352252050749568e-02
1.762774579531746965e-03,5.909442653810320113e-03
5.069368870903358422e-03,5.039928860937926795e-03
7.236715505789566814e-03,3.813344054815067177e-03
9.349395703400330965e-03,8.004952458931320972e-03
8.767258353653157102e-03,1.216040190113034519e-02
7.710168184109683111e-03,1.414022667326462861e-02
3.312653703666253776e-03,1.119936895345299659e-02
1.581259614388421655e-03,7.451992968263502527e-03
1.525125743013976522e-03,5.033110669874927591e-03
1.690401672251952469e-03,2.563677225791288327e-03
2.938088719798868237e-03,1.345138383071103113e-03
8.505731906055588945e-03,3.384138885565405371e-03
6.721659853799468246e-03,6.021053777141043527e-03
7.347722194440246130e-03,7.274656589900257986e-03
1.008252200355391238e-02,8.450348827027484577e-03
9.135407497506910571e-03,6.024245600768289403e-03
7.227287109058494648e-03,6.134357355354845380e-03
5.441882111613369037e-03,5.617107507445656331e-03
2.787200908594659673e-03,4.446828533424351457e-03
1.355950496578632028e-03,1.505185372014593639e-03
1.650696897652737622e-03,1.611061755828881040e-03
1.117140514450454649e-03,2.080651365233854647e-03
1.062387888809671185e-03,2.479948453783858194e-03
9.969690791440683625e-04,5.220261155763430277e-03
9.679941501158941235e-04,2.291761605518575183e-03
1.033019750527816583e-03,1.421260842601959921e-03
1.136527200355539691e-03,1.438868319811645313e-03
1.373815799658048781e-03,1.445263809267289916e-03
4.151154171814407969e-03,1.421174118249936627e-03
3.091601898927336892e-03,1.405216784487306860e-03
2.536813665471502732e-03,1.307380041558210563e-03
2.100620368361374047e-03,3.029173122514959571e-03
1.672922727584822983e-03,3.255955133950002179e-03
1.106022547572907714e-03,4.503916947588050730e-03
1.269675824531314593e-03,5.086911146509628598e-03
2.273019655594938834e-03,5.136084665040148781e-03
1.087195098152179962e-03,4.762203166703772757e-03
1.410350671080053825e-03,4.787816680975498507e-03
2.239476332995312541e-03,4.657057985034633758e-03
2.361377607006409120e-03,4.319542833865976268e-03
1.977971616674922741e-03,3.017980205325294495e-03
1.389831352169126552e-03,2.005538112936532807e-03
9.931959833810286194e-04,1.734235171031079260e-03
8.881915428800455856e-04,1.438742150630766339e-03
1.595186773600389433e-03,3.798095950018894745e-03
1.767765547982225269e-03,3.613128498830594625e-03
1.759418876129161631e-03,3.824014592576244296e-03
1.690667132492653215e-03,5.297411367578022841e-03
1.510132160423270338e-03,4.946197769952732914e-03
1.284450312352327728e-03,6.389512417949186514e-03
1.010759126437113780e-03,7.856394075041059355e-03
8.656547675083140544e-04,8.974347169453942771e-03
8.657140267244671072e-04,8.743924048398554402e-03
9.845489818059525305e-04,8.914483051414703180e-03
1.708510664155909846e-03,1.020095196422242043e-02
1.603288689269231774e-03,1.068441071553482245e-02
9.775189855242406942e-04,1.252516741669968715e-02
9.934264020143633665e-04,1.362823422476070433e-02
1.375908040355401001e-03,1.468327578934391052e-02
1.423866486727645795e-03,1.820817912835861335e-02
1.204206770526216165e-03,1.712243276416752780e-02
8.753408372028957185e-04,1.768399030253878582e-02
8.562130487243063649e-04,2.091908492210804021e-02
8.464399515256573574e-04,1.987398621566181800e-02
9.203174718944654841e-04,2.015859884139518596e-02
1.013708004570834480e-03,2.179129234596548573e-02
1.240439548916442763e-03,2.270873552736763640e-02
1.039642569545637558e-03,2.285626679365685213e-02
7.009145981088198141e-04,2.334470436566575893e-02
1.183166200555728093e-03,2.315786850965264806e-02
2.349576718834820582e-03,2.281593978920369234e-02
2.224592899365229488e-03,2.203169954985848347e-02
2.411619633139125592e-03,2.074248903493301072e-02
5.063455605434081901e-03,1.955482790087186701e-02
5.025762924397873810e-03,1.994718669835630898e-02
5.219878118452393571e-03,2.082695836995158978e-02
6.326898214073335518e-03,2.117906156844174409e-02
6.290354462387052863e-03,2.060529186450023656e-02
