# alpha_func, r_func, r_func_der, b_func, b_func_der, n_func
9.000000000000000222e-01,0.000000000000000000e+00,1.000000000000000000e+00,6.709252306373869601e-04,1.570125401564259171e+00,6.709251803023413667e-04
9.000000000000000222e-01,9.999749762275957684e-04,9.999499286608343196e-01,2.241050632201480042e-03,1.570125401564259171e+00,6.702542551220390648e-04
9.000000000000000222e-01,1.999899809643066861e-03,9.998997142858494502e-01,3.811176033766017213e-03,1.570125401564259171e+00,6.695833299417365461e-04
9.000000000000000222e-01,2.999774356941396335e-03,9.998493563369469372e-01,5.381301435329888250e-03,1.570125401564259171e+00,6.689124047614344610e-04
9.000000000000000222e-01,3.999598474278816783e-03,9.997988542735311013e-01,6.951426836894425421e-03,1.570125401564259171e+00,6.682414795811319422e-04
9.000000000000000222e-01,4.999372017269305100e-03,9.997482075524954936e-01,8.521552238458518502e-03,1.570125401564259171e+00,6.675705544008296403e-04
9.000000000000000222e-01,5.999094840982710508e-03,9.996974156282070201e-01,1.009167764002305567e-02,1.570125401564259171e+00,6.668996292205273384e-04
9.000000000000000222e-01,6.998766799941836744e-03,9.996464779524942834e-01,1.166180304158692671e-02,1.570125401564259171e+00,6.662287040402250365e-04
9.000000000000000222e-01,7.998387748120450169e-03,9.995953939746320405e-01,1.323192844315146388e-02,1.570125401564259171e+00,6.655577788599225178e-04
9.000000000000000222e-01,8.997957538939312452e-03,9.995441631413283234e-01,1.480205384471555696e-02,1.570125401564259171e+00,6.648868536796202159e-04
9.000000000000000222e-01,9.997476025265940314e-03,9.994927848967095629e-01,1.637217924628009413e-02,1.570125401564259171e+00,6.642159284993179140e-04
9.000000000000000222e-01,1.099694305940947074e-02,9.994412586823061551e-01,1.794230464784418722e-02,1.570125401564259171e+00,6.635450033190156121e-04
9.000000000000000222e-01,1.199635849312030191e-02,9.993895839370390277e-01,1.951243004940850234e-02,1.570125401564259171e+00,6.628740781387133102e-04
9.000000000000000222e-01,1.299572217758542501e-02,9.993377600972039865e-01,2.108255545097259542e-02,1.570125401564259171e+00,6.622031529584110083e-04
9.000000000000000222e-01,1.399503396342783972e-02,9.992857865964586139e-01,2.265268085253713259e-02,1.570125401564259171e+00,6.615322277781084895e-04
9.000000000000000222e-01,1.499429370070175759e-02,9.992336628658059494e-01,2.422280625410122568e-02,1.570125401564259171e+00,6.608613025978061876e-04
9.000000000000000222e-01,1.599350123889225692e-02,9.991813883335816104e-01,2.579293165566554080e-02,1.570125401564259171e+00,6.601903774175038857e-04
9.000000000000000222e-01,1.699265642691037345e-02,9.991289624254375834e-01,2.736305705722963388e-02,1.570125401564259171e+00,6.595194522372015838e-04
9.000000000000000222e-01,1.799175911309216017e-02,9.990763845643272356e-01,2.893318245879417105e-02,1.570125401564259171e+00,6.588485270568990651e-04
9.000000000000000222e-01,1.899080914519483965e-02,9.990236541704925477e-01,3.050330786035826414e-02,1.570125401564259171e+00,6.581776018765969800e-04
9.000000000000000222e-01,1.998980637039480743e-02,9.989707706614459060e-01,3.207343326192257926e-02,1.570125401564259171e+00,6.575066766962944613e-04
9.000000000000000222e-01,2.098875063528425275e-02,9.989177334519574458e-01,3.364355866348667234e-02,1.570125401564259171e+00,6.568357515159921594e-04
9.000000000000000222e-01,2.198764178586928159e-02,9.988645419540369552e-01,3.521368406505120952e-02,1.570125401564259171e+00,6.561648263356898575e-04
9.000000000000000222e-01,2.298647966756606209e-02,9.988111955769231054e-01,3.678380946661530260e-02,1.570125401564259171e+00,6.554939011553875556e-04
9.000000000000000222e-01,2.398526412519884007e-02,9.987576937270621347e-01,3.835393486817961772e-02,1.570125401564259171e+00,6.548229759750850369e-04
9.000000000000000222e-01,2.498399500299713222e-02,9.987040358080971902e-01,3.992406026974371080e-02,1.570125401564259171e+00,6.541520507947827349e-04
9.000000000000000222e-01,2.598267214459245092e-02,9.986502212208504536e-01,4.149418567130824798e-02,1.570125401564259171e+00,6.534811256144804330e-04
9.000000000000000222e-01,2.698129539301538649e-02,9.985962493633073755e-01,4.306431107287234106e-02,1.570125401564259171e+00,6.528102004341781311e-04
9.000000000000000222e-01,2.797986459069397649e-02,9.985421196306001335e-01,4.463443647443665618e-02,1.570125401564259171e+00,6.521392752538758292e-04
9.000000000000000222e-01,2.897837957944901510e-02,9.984878314149944201e-01,4.620456187600074927e-02,1.570125401564259171e+00,6.514683500735735273e-04
9.000000000000000222e-01,2.997684020049278669e-02,9.984333841058696812e-01,4.777468727756528644e-02,1.570125401564259171e+00,6.507974248932710086e-04
9.000000000000000222e-01,3.097524629442495805e-02,9.983787770897065705e-01,4.934481267912937952e-02,1.570125401564259171e+00,6.501264997129687067e-04
9.000000000000000222e-01,3.197359770123107958e-02,9.983240097500670762e-01,5.091493808069369464e-02,1.570125401564259171e+00,6.494555745326664048e-04
9.000000000000000222e-01,3.297189426027764131e-02,9.982690814675807545e-01,5.248506348225778773e-02,1.570125401564259171e+00,6.487846493523641029e-04
