# dp_out, dp_first_der, pinn_out, pinn_second_der
6.709252306373869601e-04,6.709251803020954696e-04,6.709252306373869601e-04,3.319168526896332239e-01
6.717622591671157297e-04,1.003276970394706424e-03,6.717622591671157297e-04,3.327874007267312972e-01
6.729320754352206791e-04,1.336501331916428725e-03,6.729320754352206791e-04,3.336619992522384948e-01
6.744355540415339269e-04,1.670602326486969602e-03,6.744355540415339269e-04,3.345406705482292242e-01
6.762735736601770001e-04,2.005584038076380082e-03,6.762735736601770001e-04,3.354234370375910324e-01
6.784470170586676206e-04,2.341450573146941494e-03,6.784470170586676206e-04,3.363103212850048207e-01
6.809567711239209332e-04,2.678206060800158994e-03,6.809567711239209332e-04,3.372013459979708028e-01
6.838037268815523161e-04,3.015854652913319001e-03,6.838037268815523161e-04,3.380965340278093700e-01
6.869887795223063266e-04,3.354400524291589747e-03,6.869887795223063266e-04,3.389959083706923781e-01
6.905128284223731316e-04,3.693847872805244847e-03,6.905128284223731316e-04,3.398994921686800952e-01
6.943767771673209702e-04,4.034200919542429986e-03,6.943767771673209702e-04,3.408073087107476029e-01
6.985815335755798635e-04,4.375463908952381686e-03,6.985815335755798635e-04,3.417193814338405078e-01
7.031280097217155328e-04,4.717641108997305821e-03,7.031280097217155328e-04,3.426357339239323174e-01
7.080171219605640651e-04,5.060736811299371141e-03,7.080171219605640651e-04,3.435563899170861468e-01
7.132497909499484418e-04,5.404755331293031873e-03,7.132497909499484418e-04,3.444813733005267498e-01
7.188269416753209368e-04,5.749701008375351918e-03,7.188269416753209368e-04,3.454107081137277602e-01
7.247495034732407554e-04,6.095578206059437676e-03,7.247495034732407554e-04,3.463444185494903849e-01
7.310184100564193210e-04,6.442391312128759040e-03,7.310184100564193210e-04,3.472825289550571792e-01
7.376345995375580868e-04,6.790144738792580625e-03,7.376345995375580868e-04,3.482250638332035075e-01
7.445990144529383891e-04,7.138842922837618232e-03,7.445990144529383891e-04,3.491720478433639752e-01
7.519126017890967245e-04,7.488490325793906166e-03,7.519126017890967245e-04,3.501235058027575286e-01
7.595763130059506735e-04,7.839091434082678944e-03,7.595763130059506735e-04,3.510794626875106683e-01
7.675911040626905157e-04,8.190650759187567687e-03,7.675911040626905157e-04,3.520399436338115251e-01
7.759579354418343154e-04,8.543172837801371600e-03,7.759579354418343154e-04,3.530049739390569430e-01
7.846777721765320346e-04,8.896662232003471615e-03,7.846777721765320346e-04,3.539745790630149935e-01
7.937515838732733895e-04,9.251123529406823920e-03,7.937515838732733895e-04,3.549487846289863802e-01
8.031803447404634077e-04,9.606561343336261771e-03,8.031803447404634077e-04,3.559276164250027019e-01
8.129650336117291969e-04,9.962980312982594455e-03,8.129650336117291969e-04,3.569111004049936309e-01
8.231066339731095676e-04,1.032038510357913275e-02,8.231066339731095676e-04,3.578992626900027174e-01
8.336061339892407917e-04,1.067878040655934058e-02,8.336061339892407917e-04,3.588921295693808799e-01
8.444645265295092941e-04,1.103817093973380459e-02,8.444645265295092941e-04,3.598897275020147557e-01
8.556828091936119355e-04,1.139856144745587940e-02,8.556828091936119355e-04,3.608920831175489452e-01
8.672619843391963373e-04,1.175995670079554856e-02,8.672619843391963373e-04,3.618992232176216906e-01
8.792030591091088343e-04,1.212236149770906657e-02,8.792030591091088343e-04,3.629111747771169849e-01
8.915070454573401906e-04,1.248578066321703872e-02,8.915070454573401906e-04,3.639279649454166821e-01
9.041749601755642678e-04,1.285021904957539540e-02,9.041749601755642678e-04,3.649496210476625979e-01
9.172078249228022293e-04,1.321568153645569232e-02,9.172078249228022293e-04,3.659761705860491432e-01
9.306066662507251090e-04,1.358217303111830532e-02,9.306066662507251090e-04,3.670076412410939737e-01
9.443725156324346082e-04,1.394969846859517304e-02,9.443725156324346082e-04,3.680440608729439456e-01
9.585064094896806903e-04,1.431826281186743266e-02,9.585064094896806903e-04,3.690854575226788503e-01
9.730093892214410414e-04,1.468787105205193733e-02,9.730093892214410414e-04,3.701318594136373541e-01
9.878825012321255060e-04,1.505852820857578322e-02,9.878825012321255060e-04,3.711832949527330561e-01
