# s_error_dp, s_error_pinn
4.226110613285517098e-02,4.243596537417357317e-02
4.218040778108518574e-02,4.218041517455303757e-02
4.218040347429114628e-02,4.218040358546876201e-02
4.218040486971356279e-02,4.218040263713908333e-02
4.218045324587884476e-02,4.218040945839814093e-02
4.218025521735905420e-02,4.218028968351351937e-02
4.218024514338990227e-02,4.218023947067062879e-02
4.218024481095573874e-02,4.218023357625462488e-02
4.218027256411797932e-02,4.218026797176414183e-02
4.218023677867072802e-02,4.218035529057966027e-02
4.218021271157905427e-02,4.218050604304512952e-02
4.218340868574996932e-02,4.218319398673090609e-02
4.219507140901327530e-02,4.218094950984373898e-02
4.214515922709190926e-02,4.217878616721065094e-02
4.213143682967615544e-02,4.217769840488845567e-02
4.205414777338623705e-02,4.218674719611723717e-02
2.502314056168678663e-02,4.214580107147001403e-02
2.423969092642444534e-02,4.205177177574340869e-02
2.311919326344820044e-02,4.180793859780018024e-02
1.977505785458662235e-02,4.178385241158143887e-02
8.510544490973949092e-03,4.161937379482813504e-02
6.539089515340042007e-03,3.787349168560843332e-02
5.046750121261353410e-03,3.577714124049531652e-02
5.000855442615435853e-03,2.856813355000241417e-02
4.898996474164022362e-03,2.090772849016304252e-02
4.461659239409726183e-03,1.543316182321682883e-02
4.424713637842699922e-03,1.590811496118473695e-02
4.184959117377326857e-03,1.569607430826278419e-02
4.009975880888015133e-03,1.534093321819969200e-02
3.972114776197459285e-03,1.580274650462672528e-02
4.135350146506914550e-03,1.561471078176567169e-02
3.634002261305699626e-03,1.550572295689812453e-02
3.307068333931279577e-03,1.506613521636566803e-02
3.392782134217419299e-03,1.444209048695625427e-02
3.320664807582879123e-03,1.374505404113155783e-02
3.043665778916647847e-03,1.416431614854598772e-02
3.180516564431913520e-03,8.980285649875564130e-03
3.057669123491162447e-03,7.191377412437958451e-03
2.722485660445282413e-03,5.189052811058570552e-03
2.784029101606942409e-03,5.200783194926572768e-03
2.607912214907969449e-03,5.148512947817103502e-03
2.633140861447918167e-03,5.076534040286487422e-03
2.753819260236324475e-03,5.248313060903726616e-03
2.446277413233278932e-03,4.432340752303624669e-03
2.600688026262375392e-03,2.047425960748192227e-03
2.209205615990393785e-03,1.574542546935361756e-03
2.246371128826522845e-03,1.543087188810766345e-03
2.507248229520061492e-03,1.870458830599784888e-03
1.911961521149204519e-03,1.527730778569977733e-03
1.925045922639056963e-03,1.553163922384028081e-03
1.565315622883522604e-03,1.225519829129467124e-03
1.587383768839166313e-03,1.736603503216307140e-03
1.677100022583350499e-03,1.175245185287737953e-03
1.959664419083646976e-03,1.089275899750165224e-03
1.312450541851639240e-03,1.277579204442693284e-03
1.708833711597911118e-03,1.538940411064595049e-03
1.282777196695089605e-03,9.820965647856776549e-04
1.351886829325548616e-03,1.550916405384514208e-03
1.370135935344115501e-03,1.253884752256425802e-03
1.766948249763298107e-03,1.441337286412704317e-03
1.609201412414386920e-03,1.732631030144167212e-03
1.373998009642067933e-03,1.384058222791269667e-03
1.081081870923685396e-03,1.412707792804906602e-03
1.597895346368120818e-03,1.903456417721444225e-03
1.619932704158398833e-03,1.842022405887485748e-03
1.464545971718558522e-03,1.958329211143388336e-03
1.055435563796812805e-03,1.862651135677740417e-03
1.226778434742185160e-03,1.451979299695884589e-03
1.044629194692145912e-03,1.597687117139862892e-03
9.920697701665450591e-04,1.760287607438674367e-03
1.273421965922477911e-03,1.771366186021416066e-03
9.763389039880106300e-04,1.473252355434696848e-03
1.044874796175337787e-03,1.530903144935550231e-03
1.145269516218356013e-03,1.745363781543878869e-03
1.354660429226641795e-03,2.073161003729775183e-03
1.452528735555227643e-03,1.610524712404128207e-03
1.044570682195093692e-03,1.624061291545325853e-03
8.937269063786884267e-04,1.757388337393073034e-03
1.141096856953689297e-03,1.801658239430232837e-03
9.066425185594804417e-04,1.290483272764228560e-03
9.449205703330993507e-04,1.222928748710474340e-03
1.194393899470214647e-03,1.480211386704329089e-03
8.171778357452955457e-04,1.173455399714846406e-03
8.930155633022560102e-04,1.131803133200139739e-03
8.864409530696552636e-04,1.335610795486174207e-03
1.217572568689364578e-03,1.156810709222690645e-03
1.281885810003135931e-03,1.189334174490676689e-03
1.245840178840999964e-03,1.380944771065303238e-03
1.120448150819079898e-03,1.294962651693790275e-03
1.436230292525033855e-03,1.649438274160637584e-03
1.414977441119740767e-03,1.658255792415008799e-03
1.197661585429819460e-03,1.240021242540212528e-03
7.250163190301527581e-04,1.278084582479294042e-03
8.002466658694676457e-04,1.216301504920676161e-03
1.505570491258039151e-03,1.028325325460260811e-03
9.538737130597010677e-04,1.048671116784710309e-03
8.162264751616704010e-04,1.461429278996633722e-03
6.558116931907648391e-04,1.353139341046560515e-03
1.213217307554021254e-03,9.446458490406611612e-04
7.406410218279387610e-04,1.265729529102837874e-03
6.352306144971509461e-04,1.203234113160209359e-03
1.157500415616859180e-03,8.645645962313757522e-04
1.013956865241967585e-03,7.811093218699666522e-04
1.318706768591475405e-03,9.915035475720798252e-04
1.319529670435668628e-03,9.490918143646607727e-04
1.455384386996450181e-03,1.360555150414517701e-03
9.065517398499563792e-04,8.294504725924404642e-04
1.315400485534131336e-03,7.208323914218029826e-04
1.167745366434640424e-03,1.057891808505495666e-03
7.374689922567467327e-04,8.744865325477229907e-04
8.111217849798371422e-04,8.793663050897136072e-04
1.123168430726983937e-03,1.225759180511512515e-03
1.203036325189613511e-03,9.624987421589241594e-04
1.330814333719223738e-03,1.241843665160444589e-03
1.020526262746100817e-03,1.448524758145372082e-03
1.131328817742243299e-03,1.527380289503437556e-03
1.404085785439013754e-03,8.146268758587609958e-04
1.421397789243837410e-03,1.104299477870148392e-03
1.020279804756906751e-03,1.003115864222018337e-03
