# dp_out, dp_first_der, pinn_out, pinn_second_der
6.709252306373869601e-04,6.709251803020954696e-04,6.709252306373869601e-04,1.181775112692484697e-01
6.716740036231339450e-04,8.264377602875683237e-04,6.716551603555916041e-04,1.176744949496925097e-01
6.725777421892225640e-04,9.808584340196269125e-04,6.725027653324359414e-04,1.171806415992916461e-01
6.736353607106445240e-04,1.134199767118815316e-03,6.734675517143658922e-04,1.166959553759070456e-01
6.748457861355877056e-04,1.286474337323539885e-03,6.745490348164637131e-04,1.162204404662565693e-01
6.762079579941774341e-04,1.437694734364836080e-03,6.757467391233193703e-04,1.157541010878988530e-01
6.777208284138401670e-04,1.587873559839136917e-03,6.770601982966841393e-04,1.152969414912560220e-01
6.793833621277028077e-04,1.737023427083483895e-03,6.784889551763164999e-04,1.148489659616500624e-01
6.811945364898481896e-04,1.885156961054512692e-03,6.800325617878453122e-04,1.144101788213619519e-01
6.831533414841944743e-04,2.032286798202109779e-03,6.816905793444130333e-04,1.139805844316877925e-01
6.852587797367187730e-04,2.178425586356391719e-03,6.834625782518255694e-04,1.135601871950713271e-01
6.875098665269752758e-04,2.323585984608023125e-03,6.853481381131523286e-04,1.131489915572089222e-01
6.899056297991311296e-04,2.467780663192531421e-03,6.873468477330062177e-04,1.127470020091962954e-01
6.924451101736075163e-04,2.611022303378396359e-03,6.894583051225862663e-04,1.123542230896851235e-01
6.951273609570338217e-04,2.753323597355805674e-03,6.916821175031933689e-04,1.119706593870897215e-01
6.979514481538740770e-04,2.894697248128519362e-03,6.940179013115789801e-04,1.115963155417835084e-01
7.009164504766186767e-04,3.035155969405956000e-03,6.964652822040165100e-04,1.112311962483298888e-01
7.040214593572969790e-04,3.174712485499497916e-03,6.990238950618573189e-04,1.108753062577584325e-01
7.072655789575127893e-04,3.313379531221016805e-03,7.016933839957644175e-04,1.105286503798162956e-01
7.106479261779850148e-04,3.451169851778734809e-03,7.044734023496142944e-04,1.101912334852811481e-01
7.141676306709095201e-04,3.588096202685964187e-03,7.073636127073822501e-04,1.098630605082965284e-01
7.178238348485243246e-04,3.724171349657634522e-03,7.103636868963844869e-04,1.095441364486892111e-01
7.216156938941825595e-04,3.859408068527248048e-03,7.134733059931937325e-04,1.092344663743740618e-01
7.255423757713375761e-04,3.993819145142518678e-03,7.166921603276287791e-04,1.089340554237243630e-01
7.296030612355294516e-04,4.127417375291431156e-03,7.200199494898957978e-04,1.086429088079930994e-01
7.337969438415178468e-04,4.260215564603653249e-03,7.234563823330503445e-04,1.083610318137632200e-01
7.381232299560437160e-04,4.392226528473486269e-03,7.270011769812337191e-04,1.080884298053982340e-01
7.425811387650697176e-04,4.523463091975932215e-03,7.306540608325621470e-04,1.078251082275404338e-01
7.471699022846502083e-04,4.653938089792974964e-03,7.344147705657979837e-04,1.075710726076243295e-01
7.518887653705744623e-04,4.783664366127426959e-03,7.382830521459521128e-04,1.073263285584031834e-01
7.567369857277057724e-04,4.912654774640090594e-03,7.422586608297504929e-04,1.070908817805178437e-01
7.617138339185083743e-04,5.040922178369156015e-03,7.463413611704448718e-04,1.068647380650779022e-01
7.668185933733997345e-04,5.168479449669138859e-03,7.505309270246041196e-04,1.066479032962732720e-01
7.720505604004828911e-04,5.295339470140048022e-03,7.548271415584619079e-04,1.064403834540140759e-01
7.774090441937256749e-04,5.421515130566767482e-03,7.592297972528486366e-04,1.062421846165826356e-01
7.828933668415117035e-04,5.547019330856439723e-03,7.637386959086689322e-04,1.060533129633066673e-01
7.885028633380628850e-04,5.671864979984952981e-03,7.683536486554210908e-04,1.058737747773017546e-01
7.942368815902873472e-04,5.796064995934768760e-03,7.730744759552811603e-04,1.057035764481759621e-01
8.000947824278561212e-04,5.919632305648736548e-03,7.779010076105805733e-04,1.055427244747939586e-01
8.060759396115030340e-04,6.042579844978357428e-03,7.828330827696836081e-04,1.053912254680737792e-01
8.121797398424402455e-04,6.164920558639153114e-03,7.878705499341167760e-04,1.052490861537962452e-01
8.184055827711832209e-04,6.286667400163592490e-03,7.930132669652870808e-04,1.051163133754183798e-01
8.247528810062598010e-04,6.407833331862677895e-03,7.982611010912362727e-04,1.049929140969758645e-01
8.312210601218900400e-04,6.528431324788641632e-03,8.036139289125237293e-04,1.048788954059397538e-01
8.378095586691719195e-04,6.648474358699862918e-03,8.090716364117751325e-04,1.047742645161461317e-01
